Name,Age,Region,Gender,Investment,Yield
Pat,19,Northern Region,Male,6532,3.7
Retha,16,Greater Accra,Female,4923,3
Lacy,20,Ashanti Region,Female,6411,3.7
Jinny,22,Central Region,Female,2773,2.2
Martha,19,Upper West,Male,4527,2.8
Paolina,16,Greater Accra,Female,2321,2.1
Biddie,20,Eastern Region,Female,1084,1.8
Charo,21,Central Region,Female,6667,3.7
Georgette,19,Greater Accra,Female,1179,1.8
Stacie,19,Brong Ahafo Region,Male,5645,3.3
Letizia,19,Brong Ahafo Region,Male,6321,3.7
Reeta,22,Central Region,Male,1497,1.8
Imojean,24,Greater Accra,Male,1796,1.9
Dion,22,Western Region,Female,3938,2.5
Carri,17,Northern Region,Female,1276,1.8
Lanni,24,Volta Region,Male,7258,4
Natka,16,Upper West,Male,1702,1.9
Junie,15,Brong Ahafo Region,Female,826,1.7
Teddy,25,Brong Ahafo Region,Female,2239,2
Crystie,21,Greater Accra,Female,6725,3.8
Margot,24,Northern Region,Female,4620,2.8
Beverlee,22,Upper West,Male,3221,2.3
Eloisa,21,Eastern Region,Female,5964,3.5
Cindi,17,Brong Ahafo Region,Female,3530,2.4
Dani,23,Ashanti Region,Male,1143,1.8
Denna,24,Ashanti Region,Female,1977,1.9
Audi,19,Central Region,Female,1711,1.9
Nadia,24,Western Region,Female,2140,2
Barbara,17,Central Region,Female,2683,2.2
Isabelle,24,Western Region,Female,1979,1.9
Robinia,18,Ashanti Region,Male,6349,3.7
Robina,20,Brong Ahafo Region,Female,1410,1.8
Micki,17,Eastern Region,Male,3613,2.4
Laurianne,25,Northern Region,Male,1560,1.9
Rafaelita,24,Ashanti Region,Female,4735,2.9
Petronilla,24,Greater Accra,Female,1469,1.8
Ebonee,17,Eastern Region,Male,6664,3.7
Marlene,23,Upper West,Female,6453,3.7
Frieda,15,Volta Region,Male,6675,3.7
Clarinda,23,Upper East Region,Male,4778,2.9
Amandy,16,Northern Region,Female,6730,3.8
Reena,24,Northern Region,Female,2365,2.1
Linnet,18,Upper East Region,Female,3643,2.4
Dorella,15,Central Region,Male,2162,2
Lolita,24,Upper East Region,Female,5402,3.2
Lucienne,15,Volta Region,Male,6212,3.6
Tani,22,Upper West,Female,5893,3.5
Francyne,22,Volta Region,Male,3169,2.3
Alena,21,Central Region,Male,2452,2.1
Carmela,20,Central Region,Male,7405,4
Dacey,15,Central Region,Female,3022,2.3
Nolana,21,Upper East Region,Female,1789,1.9
Sasha,23,Western Region,Male,3029,2.3
Serene,23,Greater Accra,Female,1122,1.8
Kaila,23,Ashanti Region,Male,1984,1.9
Kathrine,21,Upper East Region,Male,3168,2.3
Marleen,19,Eastern Region,Female,5325,3.2
Melody,17,Northern Region,Female,3992,2.5
Letizia,21,Volta Region,Female,1382,1.8
Amelia,19,Northern Region,Male,1317,1.8
Edeline,24,Central Region,Male,4055,2.6
Muire,25,Northern Region,Male,1538,1.9
Flossi,24,Northern Region,Male,6454,3.7
Chicky,18,Volta Region,Female,5722,3.4
Cheryl,15,Central Region,Female,6232,3.6
Anselma,21,Upper East Region,Female,3687,2.4
Eilis,17,Central Region,Male,7479,4
Karina,16,Brong Ahafo Region,Male,4018,2.6
Lin,25,Northern Region,Male,1108,1.8
Marielle,NULL,Central Region,Male,5664,3.3
Jackie,16,Ashanti Region,Male,4584,2.8
Elisabet,21,Central Region,Female,6066,3.6
Karalee,na,Upper West,Female,2719,2.2
Deloria,18,Brong Ahafo Region,Male,1140,1.8
Angy,20,Brong Ahafo Region,Female,1322,1.8
Elissa,22,Ashanti Region,Male,5020,3
Gus,25,Brong Ahafo Region,Male,4680,2.8
Brynna,17,Northern Region,Male,4250,2.7
Barbee,23,Volta Region,Male,6550,3.7
Melamie,20,Northern Region,Female,1955,1.9
Rochell,24,Central Region,Female,4581,2.8
Brenn,15,Western Region,Male,1297,1.8
Cele,17,Western Region,Male,1079,1.8
Tammi,19,Volta Region,Male,3763,2.5
Frederique,24,Eastern Region,Female,1462,1.8
Lissa,23,Upper West,Male,7172,3.9
Tawnya,25,Upper East Region,Male,2199,2
Maxine,15,23,Male,3886,2.5
Ranee,23,Northern Region,Female,4371,2.7
Jemie,23,Central Region,Male,3565,2.4
Ginnie,19,Volta Region,Male,7408,4
Concordia,24,Central Region,Male,7373,4
Fancy,18,Northern Region,Female,1325,1.8
Milly,23,Eastern Region,Female,2376,2.1
Nanine,23,Western Region,Female,6215,3.6
Cyndy,16,Upper East Region,Female,6157,3.6
Celie,21,Northern Region,Male,3304,2.3
Bette,18,Ashanti Region,Female,5073,3.1
Masha,18,Greater Accra,Male,6997,3.8
Libbey,22,Greater Accra,Female,5358,3.2
Indira,19,Upper East Region,Male,2444,2.1
Jaquith,19,Western Region,Male,6926,3.8
Fayette,24,Ashanti Region,Female,6263,3.6
Joscelin,15,Northern Region,Female,2770,2.2
Tammi,20,Volta Region,Female,3194,2.3
Frannie,18,Eastern Region,Female,5092,3.1
Letisha,23,Ashanti Region,Female,1280,1.8
Amie,21,Upper West,Male,6887,3.8
Reeta,22,Volta Region,Female,1835,1.9
Kimmi,21,Upper West,Female,2029,2
Serena,15,Upper West,Female,5797,3.4
Delora,16,Northern Region,Female,7301,4
Eleanore,23,Greater Accra,Female,5536,3.3
Alyda,18,Western Region,Male,6202,3.6
Albertina,15,Greater Accra,Male,1492,1.8
Charyl,19,Central Region,Female,5439,3.2
Jennie,19,Northern Region,Female,4025,2.6
Starla,18,Western Region,Male,4671,2.8
Pattie,21,Northern Region,Male,7334,4
Fredelia,21,Ashanti Region,Male,2321,2.1
Margot,25,Eastern Region,Female,5412,3.2
Roseanne,19,Eastern Region,Female,6148,3.6
Elie,25,Northern Region,Male,7144,3.9
Jonis,18,Central Region,Male,4280,2.7
Caressa,23,Volta Region,Female,3361,2.3
Norine,15,Volta Region,Male,1477,1.8
Merrie,21,Central Region,Male,1573,1.9
Angel,22,Volta Region,Male,4268,2.7
Ashli,25,Greater Accra,Male,3585,2.4
Pennie,16,Northern Region,Female,874,1.7
Coreen,18,Western Region,Female,1511,1.9
Laurena,20,Upper East Region,Female,4875,2.9
Chrysler,20,Upper East Region,Male,7387,4
Samara,19,Eastern Region,Female,5460,3.2
Josephina,16,Eastern Region,Male,5531,3.3
Lenora,19,Ashanti Region,Female,1478,1.8
Latashia,25,Eastern Region,Male,1255,1.8
Concordia,25,Ashanti Region,Female,1499,1.8
Ninette,16,Upper West,Male,4943,3
Nelly,17,Volta Region,Female,4863,2.9
Nancy,25,Ashanti Region,Male,4094,2.6
Alexa,19,Upper East Region,Male,4328,2.7
Mirelle,15,Upper West,Male,7295,4
Gisele,16,Northern Region,Female,3766,2.5
Myrtle,19,Volta Region,Female,6423,3.7
Ray,15,Ashanti Region,Female,7352,4
Loren,17,Eastern Region,Male,2795,2.2
Lucienne,15,Eastern Region,Female,3557,2.4
Krissie,19,Upper West,Male,2765,2.2
May,22,Northern Region,Female,6316,3.7
Juliette,21,Greater Accra,Male,2905,2.2
Lorna,15,Western Region,Female,4112,2.6
Katusha,22,Western Region,Female,3322,2.3
Emmie,15,Upper East Region,Female,5637,3.3
Alex,24,Central Region,Female,3986,2.5
Miguelita,15,Upper East Region,Female,4795,2.9
Halimeda,25,Volta Region,Female,4532,2.8
Aviva,16,Upper West,Female,2907,2.2
Bella,25,Brong Ahafo Region,Female,3336,2.3
Georgeta,24,Northern Region,Male,5215,3.1
Adore,17,Central Region,Female,1318,1.8
Mallory,19,Central Region,Male,3717,2.5
Lisabeth,19,Upper East Region,Female,6132,3.6
Elbertina,20,Upper East Region,Female,1931,1.9
Ginelle,23,Upper East Region,Female,7366,4
Rebeca,22,Central Region,Male,6812,3.8
Jenica,18,Greater Accra,Female,4089,2.6
Gnni,17,Brong Ahafo Region,Female,6091,3.6
Seana,17,Eastern Region,Female,2054,2
Alvina,22,Eastern Region,Male,4558,2.8
Franky,21,Upper East Region,Female,5821,3.5
Judi,24,Greater Accra,Female,5664,3.3
Melinde,21,Central Region,Male,2493,2.1
Sonni,23,Ashanti Region,Male,4331,2.7
Deanne,19,Northern Region,Female,1395,1.8
Minette,23,Northern Region,Male,2011,2
Hanni,20,Central Region,Male,4488,2.8
Dion,20,Ashanti Region,Male,7303,4
Alta,17,Northern Region,Female,1883,1.9
Janel,23,Brong Ahafo Region,Male,2153,2
Berty,0,Volta Region,Male,4863,2.9
Drusy,20,Eastern Region,Male,6170,3.6
Carena,17,Upper West,Female,1043,1.8
Alfreda,16,Upper East Region,Female,5021,3
Isa,20,Northern Region,Male,3895,2.5
Gwenny,23,Greater Accra,Female,6323,3.7
Flore,24,Upper West,Male,1402,1.8
Kerry,19,Eastern Region,Male,5856,3.5
Camala,17,Northern Region,Male,6997,3.8
Roch,19,Ashanti Region,Male,1356,1.8
Ree,15,Volta Region,Female,1651,1.9
Nance,15,Upper East Region,Female,1521,1.9
Deonne,21,Eastern Region,Male,1993,1.9
Abbe,25,Greater Accra,Female,1364,1.8
Bernice,23,Brong Ahafo Region,Female,3412,2.4
Orella,21,Upper East Region,Female,5396,3.2
Chloette,18,Upper West,Male,4152,2.6
Eddie,19,Ashanti Region,Female,2776,2.2
Jaime,18,Upper East Region,Female,6896,3.8
Roseann,20,Central Region,Female,7449,4
Sileas,25,Volta Region,Female,7275,4
Lelah,16,Eastern Region,Female,3133,2.3
Dannie,23,Upper East Region,Female,2960,2.2
Lenka,21,Upper West,Male,2158,2
Casi,23,Volta Region,Female,1641,1.9
Freda,15,Ashanti Region,Female,4627,2.8
Kassi,19,Brong Ahafo Region,Male,2262,2
Paige,20,Western Region,Male,1687,1.9
Grethel,19,Brong Ahafo Region,Female,853,1.7
Kathryn,15,Northern Region,Male,5290,3.1
Jemie,19,Eastern Region,Male,6736,3.8
Roxana,18,Upper East Region,Male,5883,3.5
Julieta,16,Upper West,Female,6486,3.7
Margarethe,19,Volta Region,Male,1181,1.8
Mufi,22,Brong Ahafo Region,Male,4729,2.9
Corinne,17,Upper East Region,Female,5388,3.2
Stormy,15,Brong Ahafo Region,Male,7260,4
Ruby,21,Brong Ahafo Region,Female,1755,1.9
Sonnnie,17,Western Region,Female,2329,2.1
Kissee,15,Ashanti Region,Female,2476,2.1
Ranique,17,Upper East Region,Male,929,1.7
Linn,20,Brong Ahafo Region,Female,4311,2.7
Ailene,17,Central Region,Female,5147,3.1
Janka,19,Greater Accra,Female,1490,1.8
Saidee,15,Western Region,Female,1284,1.8
Myrtia,23,Eastern Region,Female,6397,3.7
Allys,25,Western Region,Male,4571,2.8
Jolynn,19,Ashanti Region,Female,2776,2.2
Carlynne,23,Greater Accra,Female,1313,1.8
Edeline,23,Brong Ahafo Region,Female,7328,4
Cathleen,17,Upper East Region,Female,4222,2.7
Carmencita,22,Volta Region,Male,5351,3.2
Brita,22,Ashanti Region,Female,6509,3.7
Hyacintha,25,Eastern Region,Male,6827,3.8
Raeann,19,Eastern Region,Female,1783,1.9
Gretel,18,Eastern Region,Male,5913,3.5
Nonie,21,Volta Region,Male,1658,1.9
Cyndy,20,Upper West,Male,2690,2.2
Alaine,20,Upper East Region,Female,2868,2.2
Dorette,19,Volta Region,Male,4336,2.7
Starr,19,Ashanti Region,Female,1468,1.8
Cele,23,Greater Accra,Male,7102,3.9
Rona,20,Northern Region,Male,2230,2
Luelle,17,Western Region,Male,7111,3.9
Bernette,24,Northern Region,Male,3323,2.3
Sayre,22,Upper West,Male,6209,3.6
Carlye,21,Upper West,Male,1566,1.9
Elene,18,Ashanti Region,Male,4514,2.8
Janenna,17,Central Region,Male,2741,2.2
Dodie,22,Northern Region,Male,7089,3.9
Abbie,21,Brong Ahafo Region,Female,5398,3.2
Shannen,18,Eastern Region,Female,6847,3.8
Lisette,16,Upper West,Male,1579,1.9
Georgeanne,21,Western Region,Male,4897,2.9
Lexine,16,Volta Region,Male,1563,1.9
Glad,17,Ashanti Region,Female,4699,2.8
Rozanne,19,Northern Region,Male,3756,2.5
Sandye,16,Upper West,Female,2753,2.2
Grier,15,Eastern Region,Female,1653,1.9
Giustina,23,Volta Region,Male,6865,3.8
Cindelyn,15,Upper West,Female,7034,3.9
Arlene,23,Greater Accra,Female,4310,2.7
Kate,17,Central Region,Female,2536,2.2
Ivy,15,Ashanti Region,Female,2649,2.2
Maggie,23,Volta Region,Female,3298,2.3
Jenine,18,Western Region,Male,5017,3
Keelia,15,Western Region,Male,1558,1.9
Ladonna,22,Volta Region,Male,6154,3.6
Edee,24,Ashanti Region,Female,3074,2.3
Essa,25,Central Region,Male,5714,3.4
Jazmin,21,Western Region,Male,5096,3.1
Lizabeth,22,Greater Accra,Male,6390,3.7
Jamima,25,Upper West,Female,2930,2.2
Blythe,16,Western Region,Female,2367,2.1
Lorrayne,23,Ashanti Region,Male,3734,2.5
Mirabelle,23,Ashanti Region,Female,6213,3.6
Aretha,18,Ashanti Region,Female,2505,2.2
Dona,17,Brong Ahafo Region,Female,1023,1.8
Erina,18,Upper West,Male,5023,3
Sherline,19,Western Region,Female,6930,3.8
Darelle,17,Central Region,Female,7206,4
Jobey,16,Eastern Region,Male,4645,2.8
Kellsie,23,Eastern Region,Female,7268,4
Lezlie,25,Eastern Region,Male,2065,2
Alma,17,Brong Ahafo Region,Female,3071,2.3
Robyn,18,Northern Region,Female,4704,2.9
Siouxie,19,Upper West,Male,6369,3.7
Anastasie,19,Northern Region,Female,1872,1.9
Marylinda,20,Greater Accra,Male,6917,3.8
Jacintha,17,Ashanti Region,Male,4020,2.6
Mariette,23,Volta Region,Female,3010,2.3
Jocelin,16,Upper East Region,Female,1305,1.8
Anthe,17,Upper West,Male,994,1.7
Annabel,17,Greater Accra,Female,5348,3.2
Tawsha,15,Northern Region,Male,7029,3.9
Caresa,22,Ashanti Region,Male,4177,2.6
Gale,24,Upper East Region,Male,3213,2.3
Riane,22,Greater Accra,Female,1203,1.8
Abagail,19,Western Region,Female,4062,2.6
Tate,22,Upper West,Female,3171,2.3
Carmencita,18,Brong Ahafo Region,Female,3024,2.3
Barbaraanne,22,Upper West,Female,1123,1.8
Hannis,19,Volta Region,Male,3003,2.3
Cherianne,25,Northern Region,Male,7458,4
Rita,21,Greater Accra,Female,6115,3.6
Saree,16,Upper West,Male,7025,3.9
Lesly,24,Central Region,Female,4590,2.8
Barbie,23,Northern Region,Male,1237,1.8
Rubetta,23,Greater Accra,Female,2208,2
Roana,17,Eastern Region,Female,5270,3.1
Jazmin,15,Eastern Region,Female,2384,2.1
Claudia,19,Volta Region,Male,2869,2.2
Jeri,16,Eastern Region,Male,5279,3.1
Christan,17,Volta Region,Male,3954,2.5
Kaylee,23,Eastern Region,Male,6461,3.7
Livia,19,Upper East Region,Female,2167,2
Cindy,21,Upper East Region,Male,3042,2.3
Ambur,22,Western Region,Female,4042,2.6
Meghann,16,Upper West,Female,6922,3.8
Aeriela,25,Central Region,Male,7164,3.9
Madelin,21,Western Region,Male,5511,3.3
Jennica,19,Western Region,Female,3981,2.5
Laurette,24,Ashanti Region,Male,1419,1.8
Jenna,17,Ashanti Region,Male,5302,3.2
Halley,22,Central Region,Female,3230,2.3
Cassandre,25,Greater Accra,Male,1593,1.9
Carmen,21,Volta Region,Male,923,1.7
Deane,15,Upper West,Female,4892,2.9
Stephi,17,Central Region,Male,1717,1.9
Elita,18,Central Region,Female,1005,1.8
Sara,21,Greater Accra,Female,1617,1.9
Celisse,22,Western Region,Female,3349,2.3
Marsiella,21,Brong Ahafo Region,Male,6885,3.8
Gwenneth,15,Ashanti Region,Male,2931,2.2
Doralyn,20,Central Region,Male,4757,2.9
Judye,16,Eastern Region,Male,7339,4
Ingaberg,16,Brong Ahafo Region,Male,3111,2.3
Etti,17,Northern Region,Male,5103,3.1
Saree,24,Brong Ahafo Region,Male,1204,1.8
Guglielma,24,Ashanti Region,Female,5392,3.2
Carol,24,Upper East Region,Male,1569,1.9
Samara,18,Upper East Region,Female,5826,3.5
Merline,22,Western Region,Male,3885,2.5
Briana,0,Central Region,Male,1027,1.8
Evonne,0,Upper East Region,Male,7424,4
Melisse,0,Greater Accra,Female,3533,2.4
Dotti,0,Central Region,Female,1124,1.8
Isadora,0,Eastern Region,Male,1855,1.9
